setDate	flipDate	age	id	larvalTreat	adultTreat	deadF	deadM	cens
2/20/18	5/25/18	94	C_DR2	C	DR	0	0	0
2/20/18	5/25/18	94	C_C2	C	C	0	0	0
2/20/18	5/28/18	97	DR_DR1	DR	DR	0	2	0
2/20/18	5/28/18	97	DR_C1	DR	C	0	1	0
2/20/18	5/28/18	97	C_DR1	C	DR	0	3	0
2/20/18	5/28/18	97	DR_DR2	DR	DR	0	2	0
2/20/18	5/28/18	97	C_DR2	C	DR	0	5	0
2/20/18	5/28/18	97	C_C2	C	C	0	0	0
2/20/18	5/30/18	99	DR_DR1	DR	DR	0	2	0
2/20/18	5/30/18	99	C_DR1	C	DR	0	0	0
2/20/18	5/30/18	99	DR_DR2	DR	DR	0	2	0
2/20/18	5/30/18	99	C_DR2	C	DR	0	0	0
2/20/18	5/30/18	99	C_C2	C	C	0	0	0
2/20/18	6/1/18	101	C_DR1	C	DR	0	0	0
2/20/18	6/1/18	101	DR_DR2	DR	DR	0	1	0
2/20/18	6/1/18	101	C_DR2	C	DR	0	0	0
2/20/18	6/1/18	101	C_C2	C	C	0	0	0
2/20/18	6/4/18	104	C_DR1	C	DR	0	0	0
2/20/18	6/4/18	104	C_DR2	C	DR	0	1	0
2/20/18	6/4/18	104	C_C2	C	C	0	0	0
2/20/18	6/6/18	106	C_DR1	C	DR	0	0	0
2/20/18	6/6/18	106	C_DR2	C	DR	0	0	0
2/20/18	6/6/18	106	C_C2	C	C	0	0	0
2/20/18	6/8/18	108	C_DR1	C	DR	0	1	0
2/20/18	6/8/18	108	C_DR2	C	DR	0	0	0
2/20/18	6/8/18	106	C_C2	C	C	0	0	0
2/20/18	6/11/18	111	C_DR1	C	DR	0	1	0
2/20/18	6/11/18	111	C_DR2	C	DR	0	1	0
2/20/18	6/11/18	111	C_C2	C	C	0	0	0
2/20/18	6/13/18	113	C_C2	C	C	0	0	0
2/20/18	6/15/18	115	C_C2	C	C	0	0	0
2/20/18	6/18/18	118	C_C2	C	C	0	0	0
2/20/18	6/20/18	120	C_C2	C	C	0	0	0
2/20/18	6/22/18	122	C_C2	C	C	0	0	0
2/20/18	6/25/18	125	C_C2	C	C	0	0	0
2/20/18	6/27/18	127	C_C2	C	C	0	0	0
2/20/18	6/29/18	128	C_C2	C	C	0	0	0
2/20/18	7/2/18	132	C_C2	C	C	0	0	0
