collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/9/2018	2/20/2018	4/25/2018	64	EE_DR_DR2	DR	DR	4	5	0	9920	17	
2/9/2018	2/20/2018	4/25/2018	64	EE_DR_C2	DR	C	4	2	0	9919	11	
2/9/2018	2/20/2018	4/25/2018	64	EE_C_DR2	C	DR	3	0	1	9914	7	
2/9/2018	2/20/2018	4/25/2018	64	EE_C_C2	C	C	0	2	0	9915	3	
2/8/2018	2/20/2018	4/27/2018	66	EE_DR_DR1	DR	DR	1	0	1	9936	16	
2/8/2018	2/20/2018	4/27/2018	66	EE_DR_C1	DR	C	1	2	1	9930	2	
2/8/2018	2/20/2018	4/27/2018	66	EE_C_C1	C	C	3	3	0	9932	18	
2/8/2018	2/20/2018	4/27/2018	66	EE_C_DR1	C	DR	1	2	1	9934	8	
2/9/2018	2/20/2018	4/27/2018	66	EE_DR_DR2	DR	DR	5	4	0	9935	6	
2/9/2018	2/20/2018	4/27/2018	66	EE_DR_C2	DR	C	2	1	0	9933	10	
2/9/2018	2/20/2018	4/27/2018	66	EE_C_DR2	C	DR	10	3	0	9937	16	
2/9/2018	2/20/2018	4/27/2018	66	EE_C_C2	C	C	0	1	0	9931	7	
2/8/2018	2/20/2018	4/30/2018	69	EE_DR_DR1	DR	DR	2	0	3	9940	13	
2/8/2018	2/20/2018	4/30/2018	69	EE_DR_C1	DR	C	4	0	0	9943	3	
2/8/2018	2/20/2018	4/30/2018	69	EE_C_C1	C	C	1	0	1	9942	13	
2/8/2018	2/20/2018	4/30/2018	69	EE_C_DR1	C	DR	3	0	2	9941	8	
2/9/2018	2/20/2018	4/30/2018	69	EE_DR_DR2	DR	DR	3	4	1	9938	22	
2/9/2018	2/20/2018	4/30/2018	69	EE_DR_C2	DR	C	4	2	11	9944	6	
2/9/2018	2/20/2018	4/30/2018	69	EE_C_DR2	C	DR	6	4	2	9939	16	
2/9/2018	2/20/2018	4/30/2018	69	EE_C_C2	C	C	2	0	0	9945	13	
2/8/2018	2/20/2018	5/2/2018	71	EE_DR_DR1	DR	DR	0	0	0	9967	8	
2/8/2018	2/20/2018	5/2/2018	71	EE_DR_C1	DR	C	0	1	0	9962	0	
2/8/2018	2/20/2018	5/2/2018	71	EE_C_C1	C	C	1	3	0	9969	13	
2/8/2018	2/20/2018	5/2/2018	71	EE_C_DR1	C	DR	0	1	0	9965	5	
2/9/2018	2/20/2018	5/2/2018	71	EE_DR_DR2	DR	DR	3	3	0	9966	3	
2/9/2018	2/20/2018	5/2/2018	71	EE_DR_C2	DR	C	4	3	0	9968	3	
2/9/2018	2/20/2018	5/2/2018	71	EE_C_DR2	C	DR	0	3	0	9963	4	
2/9/2018	2/20/2018	5/2/2018	71	EE_C_C2	C	C	0	0	0	9964	9	
2/8/2018	2/20/2018	5/4/2018	73	EE_DR_DR1	DR	DR	1	1	0	9982	2	
2/8/2018	2/20/2018	5/4/2018	73	EE_DR_C1	DR	C	1	0	0	9980	30	
2/8/2018	2/20/2018	5/4/2018	73	EE_C_C1	C	C	1	0	0	9983	2	
2/8/2018	2/20/2018	5/4/2018	73	EE_C_DR1	C	DR	1	0	0	9985	5	
2/9/2018	2/20/2018	5/4/2018	73	EE_DR_DR2	DR	DR	2	1	0	9981	11	
2/9/2018	2/20/2018	5/4/2018	73	EE_DR_C2	DR	C	3	0	0	9984	3	
2/9/2018	2/20/2018	5/4/2018	73	EE_C_DR2	C	DR	1	0	0	9986	7	
2/9/2018	2/20/2018	5/4/2018	73	EE_C_C2	C	C	1	0	0	9979	10	
2/8/2018	2/20/2018	5/7/2018	76	EE_DR_DR1	DR	DR	0	2	0	9996	0	
2/8/2018	2/20/2018	5/7/2018	76	EE_DR_C1	DR	C	0	2	0	9990	2	
2/8/2018	2/20/2018	5/7/2018	76	EE_C_C1	C	C	0	1	0	9994	5	
2/8/2018	2/20/2018	5/7/2018	76	EE_C_DR1	C	DR	0	3	0	9991	4	
2/9/2018	2/20/2018	5/7/2018	76	EE_DR_DR2	DR	DR	1	0	0	9992	8	
2/9/2018	2/20/2018	5/7/2018	76	EE_DR_C2	DR	C	0	9	0	9995	2	
2/9/2018	2/20/2018	5/7/2018	76	EE_C_DR2	C	DR	0	5	0	9989	6	
2/9/2018	2/20/2018	5/7/2018	76	EE_C_C2	C	C	1	8	0	9993	3	0 or 8 males??
2/8/2018	2/20/2018	5/9/2018	78	EE_DR_DR1	DR	DR	0	1	0	1000	4	
2/8/2018	2/20/2018	5/9/2018	78	EE_DR_C1	DR	C	0	1	0	1001	5	
2/8/2018	2/20/2018	5/9/2018	78	EE_C_C1	C	C	0	0	0			
2/8/2018	2/20/2018	5/9/2018	78	EE_C_DR1	C	DR	0	1	0	9998	2	
2/9/2018	2/20/2018	5/9/2018	78	EE_DR_DR2	DR	DR	0	1	0	1002	7	
2/9/2018	2/20/2018	5/9/2018	78	EE_DR_C2	DR	C	0	0	0			
2/9/2018	2/20/2018	5/9/2018	78	EE_C_DR2	C	DR	0	0	0	9999	3	
2/9/2018	2/20/2018	5/9/2018	78	EE_C_C2	C	C	0	1	0			
2/8/2018	2/20/2018	5/11/2018	80	EE_DR_DR1	DR	DR	2	1	0			
2/8/2018	2/20/2018	5/11/2018	80	EE_DR_C1	DR	C	1	0	0			
2/8/2018	2/20/2018	5/11/2018	80	EE_C_C1	C	C	1	3	0			end
2/8/2018	2/20/2018	5/11/2018	80	EE_C_DR1	C	DR	1	0	0			
2/9/2018	2/20/2018	5/11/2018	80	EE_DR_DR2	DR	DR	0	1	0			
2/9/2018	2/20/2018	5/11/2018	80	EE_DR_C2	DR	C	3	1	0			
